자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,
무심천 청남교 옆 하천둔치,유인대여소,충청북도 청주시 서원구 모충동 170-2번지,충청북도 청주시 서원구 모충동 170-2번지,36.624534,127.489418,10:00,17:00,매주 월요일 휴무,무료,,35,,Y,수동식,N,043-201-2736,충청북도 청주시청,2018-08-13,5710000,충청북도 청주시,
온천장역북측주차장내,유인대여소,부산광역시 금정구 오시게로54번길 1,부산광역시 금정구 부곡동 389-3,35.2221896,129.088057,09:00,16:00,국공휴일 휴무,무료,,89,10,Y,수동식,N,051-519-4553,부산광역시 금정구청,2018-07-26,3350000,부산광역시 금정구,
거금휴게소,유인대여소,전라남도 고흥군 금산면 거금로 720,전라남도 고흥군 금산면 신촌리 436-1,34.488628,127.121665,09:00,17:00,"화요일, 금요일",유료,"3,000",30,0,Y,수동식,N,061-830-5433,건설과,2017-05-17,4880000,전라남도 고흥군,
옥수자전거대여소,유인대여소,서울특별시 성동구 뚝섬로 51,서울특별시 성동구 옥수동 168-1,37.541312,127.019461,09:00,18:00,법정공휴일,무료,무료,127,1,Y,기계식,Y,02-2298-8003,서울특별시 성동구청,2018-08-01,3030000,서울특별시 성동구,
응봉자전거대여소,유인대여소,서울특별시 성동구 고산자로 123,서울특별시 성동구 응봉동 3-10,37.5503432,127.034842,09:00,18:00,법정공휴일,무료,무료,90,,Y,기계식,N,02-2298-8111,서울특별시 성동구청,2018-08-01,3030000,서울특별시 성동구,
김해시 자전거교육장,유인대여소,경상남도 김해시 가야로 80,경상남도 김해시 봉황동 458-5,35.233051,128.873343,10:00,17:00,매주 월요일 휴무,무료,,39,30,Y,태양광식,N,055-330-4668,경상남도 김해시청,2018-02-18,5350000,경상남도 김해시,
원평1동,유인대여소,경상북도 구미시 구미중앙로25길20,경상북도 구미시 원평동1026,36.127139,128.340029,09:00,18:00,공휴일,무료,무료,2,9,Y,수동식,N,054-480-7431,원평1동주민센터,2018-06-30,5080000,경상북도 구미시,
선주원남동,유인대여소,경상북도 구미시 봉곡로 42,경상북도 구미시 봉곡동 541-1,36.142579,128.310306,09:00,18:00,"주말, 공휴일",무료,무료,2,10,Y,수동식,N,054-480-7505,선주원남동주민센터,2018-06-30,5080000,경상북도 구미시,
원남민원실,유인대여소,경상북도 구미시 백산로 19,경상북도 구미시 송정동 3-1,36.124339,128.337225,09:00,18:00,"주말, 공휴일",무료,무료,5,9,Y,수동식,N,054-480-7505,선주원남동주민센터,2018-06-30,5080000,경상북도 구미시,
형곡1동,유인대여소,경상북도 구미시 경은로 52,경상북도 구미시 형곡동 141-5,36.11399265,128.334436,09:00,18:00,"토,일 공휴일제외",무료,무료,5,10,Y,수동식,N,054-480-7542,형곡1동주민센터,2018-06-30,5080000,경상북도 구미시,
공단1동,유인대여소,경상북도 구미시 비산로4,경상북도 구미시 공단동 112-2,36.119317,128.372194,09:00,18:00,연중 무휴,무료,무료,3,7,N,수동식,N,054-480-7652,공단1동주민센터,2018-06-30,5080000,경상북도 구미시,
상모사곡동,유인대여소,경상북도 구미시 상사서로 199,경상북도 구미시 상모동 662-1,36.100013,128.3578595,09:00,18:00,연중 무휴,무료,무료,2,6,Y,수동식,N,054-480-7713,상모사곡동주민센터,2018-06-30,5080000,경상북도 구미시,
구미시청,유인대여소,경상북도 구미시 송정대로 55,경상북도 구미시 송정동 50,36.119588,128.344329,09:00,18:00,"토,일 공휴일 제외",무료,무료,2,10,Y,기계식,N,054-480-5290,구미시청,2018-06-30,5080000,경상북도 구미시,
동락공원자전거대여소,유인대여소,경상북도 구미시 3공단로 191,경상북도 구미시 진평동 766,36.098441,128.401087,10:00,18:00,"추석, 설, 우천시",무료,무료,239,,Y,기계식,N,054-480-5290,구미시청,2018-06-30,5080000,경상북도 구미시,
구미대학교,유인대여소,경상북도 구미시 야은로 37,경상북도 구미시 부곡동 407,36.151411,128.289084,09:00,18:00,"추석, 설, 우천시",무료,무료,5,10,Y,기계식,N,054-440-1114,구미대학교,2018-06-30,5080000,경상북도 구미시,
구미시승마장,유인대여소,경상북도 구미시 옥성면 선상동로 1174-7,경상북도 구미시 옥성면 옥관리  20,36.325059,128.277286,09:00,18:00,"추석, 설, 우천시",무료,무료,13,10,Y,기계식,N,054-480-2161,구미시승마장,2018-06-30,5080000,경상북도 구미시,
지산체육공원,유인대여소,,경상북도 구미시 고아읍 괴평리 1123,36.142899,128.3703196,09:00,17:00,명절당일,무료,무료,236,180,Y,태양광식,N,054-480-5393,구미시청,2018-06-30,5080000,경상북도 구미시,
거제동 동래화신타운101동 앞,유인대여소,부산광역시 연제구 온천천공원길 74,부산광역시 연제구 거제동 550-1,35.129991,129.0894013,09:00,17:00,"연중(1.1,설,추석,기상악화시 휴무)",무료,,63,7,Y,기계식,N,051-665-4982,부산광역시 연제구청,2018-03-31,3370000,부산광역시 연제구,
두바퀴쉼터,유인대여소,서울특별시 서대문구 홍제천로111,서울특별시 서대문구 연희동696,37.574770,126.925607,09:00,17:00,매주 월요일,무료,무료,172,15,Y,기계식,N,02-330-1655,서대문구청 교통행정과,2018-08-01,3120000,서울특별시 서대문구,
서초구자전거무료대여소,유인대여소,서울특별시 서초구 방배로 76,서울특별시 서초구 방배동 984-5,37.481297,126.998006,08:00,19:00,법정공휴일,무료,무료,40,22,Y,수동식,Y,02-2155-7186,서초구청,2018-07-13,3210000,서울특별시 서초구,
남천동 공영자전거 무료대여소,유인대여소,,부산광역시 수영구 남천동 148-6,35.084570,129.066000,10:00,19:00,"명절, 선거일",무료,,30,1,Y,수동식,N,051-610-4555,부산광역시 수영구청,2018-01-01,3380000,부산광역시 수영구,
민락동 공영자전거 무료대여소,유인대여소,,부산광역시 수영구 민락동 110-23,35.091800,129.076000,10:00,19:00,"명절, 선거일",무료,,70,2,Y,수동식,N,051-610-4555,부산광역시 수영구청,2018-01-01,3380000,부산광역시 수영구,
봉화열목어마을,유인대여소,경상북도 봉화군 석포면 청옥로 1893,경상북도 봉화군 석포면 대현리 90-5,37.059753,129.004034,09:00,18:00,명절연휴 휴무,유료,1인 1시간 5천원+2인 1시간 8천원,40,0,Y,수동식,N,054-674-0204,경상북도 봉화군청,2018-02-23,5240000,경상북도 봉화군,
분천산타마을,유인대여소,경상북도 봉화군 소천면 분천길 49,경상북도 봉화군 소천면 분천리 964-1,36.932584,129.058818,10:00,19:00,매주 월요일 휴무,유료,1시간 5천원,30,1,Y,수동식,Y,054-679-6151,경상북도 봉화군청,2018-02-23,5240000,경상북도 봉화군,
코오롱 앞(정부과천청사역 4번출구),유인대여소,,경기도 과천시 별양동 1,37.4273488,126.9914146,09:00,18:00,토·일·국경일,무료,무료,20,30,Y,수동식,N,02-3677-2288,과천시청(교통과),2018-07-31,3970000,경기도 과천시,
중앙공원,유인대여소,,경기도 과천시 별양동 2-5,37.4306703,126.9949293,09:00,18:00,월·화·국경일,무료,무료,20,20,Y,수동식,N,02-3677-2288,과천시청(교통과),2018-07-31,3970000,경기도 과천시,
부림동 과천역 3번출구,유인대여소,,경기도 과천시 부림동 55,37.4325055,126.9986132,09:00,18:00,토·일·국경일,무료,무료,20,30,Y,수동식,N,02-3677-2288,과천시청(교통과),2018-07-31,3970000,경기도 과천시,
문원 2단지 문천사 앞,유인대여소,,경기도 과천시 문원동 106-2,37.4255253,127.0066602,09:00,18:00,토·일·국경일,무료,무료,20,20,Y,수동식,N,02-3677-2288,과천시청(교통과),2018-07-31,3970000,경기도 과천시,
덕진공원대여소,유인대여소,전라북도 전주시 덕진구 권삼득로 390 덕진공원,전라북도 전주시 덕진구 덕진동1가 1316-2,35.849668,127.125323,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",42,,Y,기계식,N,063-281-2568,전라북도 전주시청,2018-08-09,4640000,전라북도 전주시,
덕진하천대여소,유인대여소,전라북도 전주시 덕진구 전주천동로455,전라북도 전주시 덕진구 전주천동로 455,35.833609,127.126453,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",32,,Y,기계식,N,063-281-2568,전라북도 전주시청,2018-08-09,4640000,전라북도 전주시,
자연생태관 대여소,유인대여소,전라북도 전주시 완산구 바람쐬는길21,전라북도 전주시 완산구 교동951-1,35.810861,127.146148,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",35,,Y,기계식,N,063-281-2568,전라북도 전주시청,2018-08-09,4640000,전라북도 전주시,
치명자산대여소,유인대여소,전라북도 전주시 완산구 바람쐬는길92,전라북도 전주시 완산구 대성동 320-2,35.8040614,127.1664673,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",40,1,Y,기계식,Y,063-281-2568,전주시,2018-08-09,4640000,전라북도 전주시,
오목대대여소,유인대여소,,전라북도 전주시 완산구 풍남동3가7-9,35.8165820,127.1553679,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",32,1,Y,기계식,N,063-281-2568,전주시,2018-08-09,4640000,전라북도 전주시,
향교대여소,유인대여소,,전라북도 전주시 완산구 교동21-2,35.8115325,127.1573297,09:00,18:00,"월요일,추석,설",유료,"1,000원/1일",29,1,Y,기계식,N,063-281-2568,전주시,2018-08-09,4640000,전라북도 전주시,
동래구 온천천 자전거 대여소,유인대여소,부산광역시 동래구,부산광역시 동래구 사직동 9-1,35.201768,129.078243,09:00,17:30,"연중무휴(단, 상황에 따라 달라질수 있음)",무료,무료,70,47,Y,수동식,N,051-550-4534,부산광역시 동래구,2018-07-31,3300000,부산광역시 동래구,
오산천 자전거대여소,유인대여소,경기도 오산시 은계동 100-1,경기도 오산시 은계동 100-1,37.1381928,127.0645286,09:00,18:00,매주 월요일,무료,무료,164,0,Y,기계식,N,031-8036-7706,오산시청,2018-08-01,4000000,경기도 오산시,
맑음터공원 자전거대여소,유인대여소,경기도 오산시 오산천로52,경기도 오산시 오산동 750-1,37.1383388346,127.064495101,09:00,18:00,매주 월요일,무료,무료,165,0,Y,기계식,N,031-8036-7706,오산시청,2018-08-01,4000000,경기도 오산시,
호미곶광장,유인대여소,경상북도 포항시 남구 호미곶면 해맞이로 136,경상북도 포항시 남구 호미곶면 대보리 988-3,36.0767583861,129.56605883,10:00,17:00,11월~3월 휴무,무료,무료,20,1,N,,N,070-7204-7948,경북포항지역자활센터,2018-07-31,5020000,경상북도 포항시,
운하관크루즈,유인대여소,경상북도 포항시 남구 희망대로 1041,경상북도 포항시 남구 송도동 223,36.012471,129.223891,09:00,18:00,11월~3월 휴무,무료,무료,15,1,N,,N,070-7204-7948,경북포항지역자활센터,2018-07-31,5020000,경상북도 포항시,
서남동주민센터,유인대여소,광주광역시 동구 서남로 14,광주광역시 동구 서석동 29,35.1448776,126.9231821,09:00,18:00,"매주 토요일,일요일",무료,,5,,N,,N,062-608-3744,광주광역시 동구 서남동주민센터,2017-11-21,3590000,광주광역시 동구,
계림1동주민센터,유인대여소,광주광역시 동구 경양로247번길 26,광주광역시 동구 계림1동 178-38,35.1585024,126.9196715,09:00,18:00,"매주 토요일,일요일",무료,,5,,N,,N,062-608-3565,광주광역시 동구 계림1동주민센터,2017-11-21,3590000,광주광역시 동구,
계림2동주민센터,유인대여소,광주광역시 동구 중앙로272번길 37,광주광역시 동구 계림2동195-2,35.1580273,126.9234073,09:00,18:00,"매주 토요일,일요일",무료,,5,,N,,N,062-608-3594,광주광역시 동구 계림2동주민센터,2017-11-21,3590000,광주광역시 동구,
동명동주민센터,유인대여소,광주광역시 동구 동명로26번길 13,광주광역시 동구 명동156-4,35.1461042,126.9231227,09:00,18:00,"매주 토요일,일요일",무료,,3,,N,,N,062-608-3535,광주광역시 동구 동명동주민센터,2017-11-21,3590000,광주광역시 동구,
산수1동주민센터,유인대여소,광주광역시 동구 무등로449번길 12,광주광역시 동구 산수1동541-10,35.1572828,126.9307466,09:00,18:00,"매주 토요일,일요일",무료,,3,,N,,N,062-608-3624,광주광역시 동구 산수1동주민센터,2017-11-21,3590000,광주광역시 동구,
산수2동주민센터,유인대여소,광주광역시 동구 필문대로191번길 43-24,광주광역시 동구 산수2동512-3,35.1546163,126.9361486,09:00,18:00,"매주 토요일,일요일",무료,,1,,N,,N,062-608-3654,광주광역시 동구 산수2동주민센터,2017-11-21,3590000,광주광역시 동구,
지산1동주민센터,유인대여소,광주광역시 동구 필문대로218번길 9,광주광역시 동구 지산동722-4,35.1514572,126.9288123,09:00,18:00,"매주 토요일,일요일",무료,,3,,N,,N,062-608-3684,광주광역시 동구 지산1동주민센터,2017-11-21,3590000,광주광역시 동구,
지산2동주민센터,유인대여소,광주광역시 동구 지호로 51,광주광역시 동구 지산동232-46,35.1479133,126.9344711,09:00,18:00,"매주 토요일,일요일",무료,,1,,N,,N,062-608-3714,광주광역시 동구 지산2동주민센터,2017-11-21,3590000,광주광역시 동구,
지원1동주민센터,유인대여소,광주광역시 동구 남문로 600-3,광주광역시 동구 소태동 656,35.1247258,126.932309,09:00,18:00,"매주 토요일,일요일",무료,,3,,N,,N,062-608-3834,광주광역시 동구 지원1동주민센터,2017-11-21,3590000,광주광역시 동구,
지원2동주민센터,유인대여소,광주광역시 동구 화산로 361,광주광역시 동구 용산동269-1,35.1204519,126.9328728,09:00,18:00,"매주 토요일,일요일",무료,,2,,N,,N,062-608-3864,광주광역시 동구 지원2동주민센터,2017-11-21,3590000,광주광역시 동구,
학동주민센터,유인대여소,광주광역시 동구 천변우로 559-7,광주광역시 동구 학동901-308,35.1344038,126.9242265,09:00,18:00,"매주 토요일,일요일",무료,,2,,N,,N,062-608-3774,광주광역시 동구 학동주민센터,2017-11-21,3590000,광주광역시 동구,
충장동주민센터,유인대여소,광주광역시 동구 충장로58번길 16,광주광역시 동구 충장로4가 32-2,35.1491454,126.9128471,09:00,18:00,"매주 토요일,일요일",무료,,3,,N,,N,062-608-3505,광주광역시 동구 충장동주민센터,2017-11-21,3590000,광주광역시 동구,
학운동주민센터,유인대여소,광주광역시 동구 의재로 53,광주광역시 동구 학동720-10,35.1324964,126.933662,09:00,18:00,"매주 토요일,일요일",무료,,1,,N,,N,062-608-3804,광주광역시 동구 학운동주민센터,2017-11-21,3590000,광주광역시 동구,
거창군청,무인대여소,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 60-3,35.686942,127.909999,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,10,18,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
상림리 책읽는 공원,무인대여소,경상남도 거창군 거창읍 거열로 81,경상남도 거창군 거창읍 상림리 866,35.690328,127.902927,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,14,26,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
거창공설시장 주차장,무인대여소,경상남도 거창군 거창읍 시장길 64,경상남도 거창군 거창읍 중앙리 150-3,35.686543,127.914219,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,4,6,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
농협대동지점 주차장,무인대여소,경상남도 거창군 거창읍 중앙로 185,경상남도 거창군 거창읍 대동리 46-3,35.688668,127.918323,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,6,12,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
창남교회 옆,무인대여소,경상남도 거창군 거창읍 수남로 2274,경상남도 거창군 거창읍 김천리 102-7,35.682035,127.912602,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,5,10,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
도립 거창대학,무인대여소,경상남도 거창군 거창읍 거창대학로 72,경상남도 거창군 거창읍 김천리 164,35.674647,127.912387,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,7,14,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
승강기 대학,무인대여소,경상남도 거창군 거창읍 운정1길 120,경상남도 거창군 거창읍 송정리 700,35.675872,127.895981,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,7,14,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
화목 아파트,무인대여소,경상남도 거창군 거창읍 거열로 2길 34-9,경상남도 거창군 거창읍 대동리 600-8,35.692977,127.914662,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,5,10,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
베어스 타운,무인대여소,경상남도 거창군 거창읍 동동6길 99,경상남도 거창군 거창읍 대동리 13-74,35.690941,127.924180,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,7,15,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
청소년수련원,무인대여소,경상남도 거창군 거창읍 교촌길 100-30,경상남도 거창군 거창읍 가지리 256,35.692922,127.907012,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,7,15,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
소만2지구어린이 공원,무인대여소,경상남도 거창군 거창읍 소만4길 7,경상남도 거창군 거창읍 대동리 993-4,35.693449,127.922863,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,7,15,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
거창스포츠파크,무인대여소,경상남도 거창군 거창읍 심소정길 39-36,경상남도 거창군 거창읍 대동리 11번지,35.695055,127.927307,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,7,15,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
한국전력,무인대여소,경상남도 거창군 거창읍 강남로 246,경상남도 거창군 거창읍 대평리 566-3번지,35.687257,127.923794,00:00,24:00,연중무휴,유료,시간당 1천원+정기권 1개월 2천원+정기권 1년 2만원,7,15,N,,N,055-940-3596,거창군청 도시건축과,2018-08-10,5470000,경상남도 거창군,
남원역,유인대여소,전라북도 남원시 교룡로 71,전라북도 남원시 신정동 521-1,35.410972,127.360566,09:00,18:30,무휴,무료,0,35,0,Y,기계식,N,063-631-3229,한국철도공사,2018-08-07,4700000,전라북도 남원시,
자전거종합서비스센터,유인대여소,서울특별시 금천구 독산동 724-5,서울특별시 금천구 독산동 724-5,37.4584529212,126.8920156393,09:00,18:00,"법정공휴일,월요일 휴무",무료,무료,143,130,Y,기계식,Y,2627-1722,금천구청,2018-08-14,3170000,서울특별시 금천구,
하니움 체육관 정문 앞,무인대여소,전라남도 화순군 화순읍 학포로 2698,전라남도 화순군 화순읍 대리 501,35.049170,126.965392,09:00,18:00,매주 월요일 휴무,유료,1시간+500원+1일권+3천원,15,50,N,,N,061-379-3632,전라남도 화순군청,2017-03-17,4900000,전라남도 화순군,
서대전지하철3번출구,무인대여소,,대전광역시 중구 오류동 152-5번지,36.322248,127.411462,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
대전시민대학 정문,무인대여소,,대전광역시 중구 선화동 287-2번지,36.327591,127.420855,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,16,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
대전 세무서앞,무인대여소,,대전광역시 중구 선화동 184-1번지,36.330883,127.419077,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
참좋은APT 가자주류대전,무인대여소,,대전광역시 중구 선화동 83-1번지,36.331535,127.422493,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
중앙로역3번출구,무인대여소,,대전광역시 중구 대흥동 198-1번지,36.327826,127.426281,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
타슈 관제센터,무인대여소,,대전광역시 유성구 원촌동 76-1,36.387986,127.409048,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,11,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
호반 베르디움 (201동 앞),무인대여소,,대전광역시 유성구 봉명동 1019-9번지,36.349006,127.347529,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
호반 베르디움(101동 앞),무인대여소,,대전광역시 서구 도안동 1373번지,36.311886,127.346868,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
계룡 리슈빌 1704동,무인대여소,,대전광역시 서구 도안동 1364번지,36.316311,127.345216,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
금성 백조 (701동 앞),무인대여소,,대전광역시 유성구 봉명동 1037번지,36.348233,127.344519,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
트리플시티5단지,무인대여소,,대전광역시 유성구 상대동 4644번지,36.345711,127.338892,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
우미린(106동 앞),무인대여소,,대전광역시 서구 가수원동 844번지,36.312414,127.349936,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
우송대 입구,무인대여소,,대전광역시 동구 자양동 58-14,36.337017,127.447794,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,14,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
대전역,무인대여소,,대전광역시 동구 정동 17-1,36.332221,127.432054,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,12,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
대동역,무인대여소,,대전광역시 동구 대동 148,36.329613,127.442446,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
한남오거리,무인대여소,,대전광역시 대덕구 오정동 449-8,36.347978,127.416389,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
센트럴파크 302동 앞,무인대여소,,대전광역시 중구 문화동 1-256번지,36.318381,127.411655,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,12,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
오정동 운암빌딩 옆,무인대여소,,대전광역시 대덕구 오정동 61-23,36.358455,127.411245,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,12,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
중촌네거리,무인대여소,,대전광역시 중구 중촌동 398-6,36.335961,127.414904,05:00,24:00,"연중무휴(설, 추석 당일 2일 제외)",유료,,13,,N,,N,042-610-1824,대전광역시시설관리공단,2018-02-21,B551297,대전광역시시설관리공단,
